#Kalibration MCA (Doppelimpuls -> welcher Kanal)
#del_t[micro s]     Channel     Counts
0.3 	    7 	    16213
0.6         21 	    15462
0.9 	    35 	    15547
1.2 	    48 	    13928
1.5 	    62 	    15391
1.8 	    76 	    15293
2.1 	    90 	    15470
2.4 	    103.98  15172
2.7 	    117 	15234
3.0 	    131 	16310
3.3 	    145 	15505
3.6 	    159 	15470
3.9 	    173 	15405
4.2 	    186 	15301
4.5 	    200 	15206
4.8 	    214 	15221
5.1 	    228 	15780
5.4 	    242 	15224
5.7 	    256 	15158
6.0 	    269 	15125
6.3 	    283 	15334
6.6 	    297 	16094
6.9 	    311 	15216
7.2 	    325 	15094
7.5 	    338.62  15517
7.8 	    352 	15390
8.1 	    366 	15162
8.4 	    380 	15348
8.7 	    394 	16517
9.0 	    408 	15362
9.3 	    421.99  15254
9.6 	    435 	15454
9.9 	    0 	    0
