#Verzögerungsplateau Ding (del_t=t_1-t_2); Messzeit: 20s
#del_t [ns]     Counts
-10.0           1
-9.0            4
-8.0            11
-7.0            21
-6.0            75
-5.5            103
-5.0            109
-4.5            121
-4.0            163
-3.5            205
-3.0            196
-2.5            230
-2.0            228
-1.5            289
-1.0            288
-0.5            304
0               319
0.5             340
1.0             372
1.5             356
2.0             345
2.5             344
3.0             352
3.5             273
4.0             352
4.5             230
5.0             242
5.5             219
6.0             199
7.0             155
8.0             109
9.0             72
10.0            40
11.0            13
12.0            0
