# t[min]    T [celsius]     I [10^-11 Ampere]
1           -61.5           0
2           -60             0.01   
3           -58.5           0
4           -57.3           0 
5           -56             0.001
6           -54             0.007
7           -53.5           0.015
8           -52.5           0.015
9           -51.0           0.018
10          -49.0           0.021
11          -47.5           0.0255
12          -45             0.065
13          -43.3           0.12
14          -41.4           0.08
15          -39.9           0.06
16          -38.5           0.065
17          -37             0.075
18          -35.7           0.09
19          -34             0.11
20          -33.1           0.13
21          -31.9           0.16
22          -30.6           0.2
23          -29.3           0.24
24          -27.7           0.28
25          -26.3           0.34
26          -24.4           0.45
27          -22.7           0.53
28          -20.8           0.63
29          -19.2           0.75
30          -17.5           0.85
31          -16             1.0
32          -14.4           0.9
33          -12.9           0.8
34          -11.5           0.8
35          -10.3           0.7
36          -9.1            0.6
37          -7.6            0.5
38          -6.6            0.4
39          -4.9            0.4
40          -3.5            0.4
41          -2.0            0.3
42          -0.5            0.3
43          0.8             0.3
44          2.2             0.3
45          3.7             0.3
46          5.2             0.35
47          6.9             0.35
48          8.6             0.4
49          10.0            0.4
50          11.8            0.45
51          13.5            0.5
52          15.0            0.6
53          16.5            0.65
54          18.0            0.7
55          19.5            0.8
56          21.0            0.9
57          22.4            1.0
58          23.5            1.1
59          25.0            1.2
60          26.4            1.3
61          27.7            1.5
62          29.1            1.6
63          30.4            1.7
64          31.7            1.9
65          33.0            2.0
66          34.1            2.1
67          35.5            2.2
68          36.9            2.3
69          38.3            2.35
70          39.5            2.35
71          41.0            2.3
72          42.4            2.2
73          43.8            2.05
74          45.1            1.9
75          46.4            1.65
76          48              1.45
77          49.2            1.2
78          50.8            1.05    
79          52.1            0.9
80          53.6            0.75
81          55.0            0.7
82          56.6            0.6
83          58.1            0.55
84          59.4            0.5
85          60.7            0.5
86          62.0            0.49
87          63.3            0.49          
