#Druck p/ mbar      Anzahl min/max(I, ohne)   (II, ohne)    (III, mit)   (IV, mit)
50      4       5       2       2
100     6       7       4       4
150     8       10      10      7
200     10      12      12      9
250     12      14      14      11
300     14      16      21      13
350     17      18      23      15
400     20      20      25      17
450     23      22      27      19
500     25      24      29      21
550     28      26      31      24
600     32      29      34      26
650     36      31      36      28
700     39      33      38      30
750     42      35      40      32
800     44      37      42      34
850     47      39      44      36
900     50      41      46      38
950     54      43      48      41
1000    58      45      50      42
