#Drehschieberpumpe Evakuierung
#t[s]       p_1 [mbar]      p_2 [mbar]      p_3 [mbar]
0          1000            1000             1000
10          798             800             1000
20          442             450             1000
30          278             282             624
40          172             177             359
50          111             119             218
60          77.1            79.7            142
70          53.2            55.8            93.8
80          38.2            40.7            65.5
90          29.8            31.4            45.9
100         22.1            23.4            34.8
110         17.0            17.7            26.0
120         13.3            14.0            19.4
130         10.3            10.8            15.6
140         8.52            8.81            12.2
150         7.04            7.37            9.48
160         6.02            6.17            7.88
170         5.21            5.36            6.63
180         4.57            4.67            5.67
190         4.03            4.12            4.91
200         3.61            3.68            4.37
210         3.26            3.32            3.86
220         2.95            3.01            3.46
230         2.96            2.74            3.14
240         2.46            2.50            2.85
250         2.26            2.31            2.59
260         2.09            2.13            2.39
270         1.94            1.98            2.20
280         1.80            1.83            2.04
290         1.68            1.71            1.89
300         1.57            1.59            1.77
310         1.47            1.49            1.65
320         1.39            1.41            1.54
330         1.31            1.33            1.45
340         1.24            1.25            1.36
350         1.17            1.19            1.29
360         1.12            1.12            1.22
370         1.06            1.07            1.15
380         1.01            1.02            1.10
390         0.969           0.979           1.05
400         0.917           0.926           0.999
410         0.876           0.886           0.951
420         0.838           0.843           0.906
430         0.801           0.807           0.866
440         0.766           0.774           0.825
450         0.739           0.741           0.791
460         0.704           0.710           0.757
470         0.677           0.682           0.726
480         0.698           0.658           0.697
490         0.626           0.632           0.670
500         0.603           0.609           0.645
510         0.581           0.585           0.621
520         0.558           0.564           0.598
530         0.535           0.542           0.576
540         0.517           0.522           0.553
550         0.498           0.504           0.532
560         0.481           0.485           0.513
570         0.464           0.468           0.495
580         0.447           0.453           0.477
590         0.434           0.438           0.462
600         0.420           0.425           0.446
