#Drehschieberpumpe Leckratenmessung p_G = 0,5 mbar 
#t[s]	p_1[e-3mbar]	p_2[e-3mbar]	p_3[e-3mbar]
0       500             500                 500
10      513             506                 517
20      532             522                 538
30      552             539                 563
40      571             558                 585
50      591             575                 605
60      608             592                 627
70      627             608                 648
80      645             624                 669
90      664             640                 691
100     682             657                 712
110     701             673                 734
120     719             689                 758
130     738             706                 779
140     757             722                 801
150     776             739                 822
160     795             756                 844
170     814             773                 866
180     833             790                 889
190     850             806                 910
200     870             823                 934
