#Drehschieberpumpe Leckratenmessung p_G = 10 mbar
#t[s]	p_1[mbar]	p_2[mbar]	p_3[mbar]
10      12.7        12.6        12.9
20      14.9        14.8        15.0
30      17.0        17.0        17.2
40      19.1        19.1        19.2
50      21.3        21.5        21.6
60      24.0        24.1        24.3
70      26.6        26.7        26.8
80      29.1        29.1        29.2
90      31.3        31.3        31.4
100     33.5        33.9        33.5
110     35.3        35.3        35.4
120     37.2        37.4        37.4
130     39.1        39.0        39.2
140     41.4        41.4        41.5
150     44.4        44.4        44.4
160     47.0        47.3        47.2
170     49.6        49.8        49.8
180     52.1        51.9        52.2
190     54.6        54.5        54.7
200     56.9        56.8        56.9
