#Turbopumpe Evakuierungskurve p_E = 1.09e-5 mbar Anfangsdruck p = 5e-3mbar Werte in e-5mbar
#t[s]   p1            p_2       p_3
10      19.4        17.6        20.2
20      4.46        3.53        4.24
30      2.52        2.20        2.33
40      2.12        1.92        2.00
50      1.89        1.74        1.82
60      1.75        1.68        1.75
70      1.68        1.58        1.63
80      1.59        1.51        1.55
90      1.52        1.45        1.49
100     1.47        1.41        1.44
110     1.42        1.37        1.40
120     1.38        1.35        1.37
