#Turbomolekularpumpe Leckratenmessung p_G = 5*10^-5 mbar
#t[s]	p_1[10^-4 mbar]	p_2[10^-4 mbar]	p_3[10^-4 mbar]
0       0.5     0.5     0.5
10      1.78    1.65    1.64
20      2.50    2.46    2.52
30      3.32    3.26    3.32
40      4.19    4.12    4.16
50      4.97    4.97    4.96
60      5.90    5.82    5.83
70      6.89    6.86    6.93
80      8.35    8.23    8.29
90      9.83    9.73    9.63
100     11.5    11.4    11.4
110     12.8    12.7    12.8
120     14.5    14.4    14.4
